catalog_position,title,author,year_published,genre,section,total_copies,times_borrowed,last_borrowed_date,rating,ratings_count,price,language,page_count,dimensions_width,dimensions_thickness,dimensions_height,catalog_shelf,catalog_row,catalog_row_number
A1-B1-0001,Enormous Room,E. E. Cummings,1949,Drama,Fiction,5,3,1/6/2025,4.14,2,14.66,en,249,4.98,0.6,7.97,A1,B1,1
A1-B1-0002,Plutarchi Vitae parallelae,Plutarch,1478,Biography & Autobiography,History,4,1,3/19/2024,,,9.99,en,241,5.74,1.12,8.08,A1,B1,2
A1-B1-0003,The water-babies,Charles Kingsley,1863,Fantasy,Children,6,6,6/5/2024,4.21,6,13.89,en,228,7.7,0.7,5.1,A1,B1,3
A1-B1-0004,Kipps,H. G. Wells,1900,Comedy,Fiction,4,5,11/6/2024,4.44,4,370,en,386,5.08,0.98,7.8,A1,B1,4
A1-B1-0005,Man and Superman,George Bernard Shaw,1903,Drama,Fiction,5,2,1/16/2025,4.46,2,10.99,en,220,5.08,1.22,7.8,A1,B1,5
A1-B1-0006,The poetical works of Sir Walter Scott,Sir Walter Scott,1800,Poetry,Fiction,5,8,6/5/2024,4.28,5,2.99,en,2315,6.14,1.5,9.21,A1,B1,6
A1-B1-0007,The Ugly Duckling,Hans Christian Andersen,1851,Fantasy,Children,5,5,9/2/2024,4.71,3,12.08,en,28,7.5,0.35,9.5,A1,B1,7
A1-B1-0008,The Lost World,Michael Crichton,1995,Science Fiction,Fiction,4,199,10/11/2024,4.64,149,0.99,en,367,6.44,1.33,7.38,A1,B1,8
A1-B1-0009,Terre des hommes,Antoine de Saint-Exupéry,1939,Biography & Autobiography,Non-Fiction,5,7,12/20/2024,4.58,7,12.3,fr,144,4.33,0.47,7.09,A1,B1,9
A1-B1-0010,Physics of the Impossible,Michio Kaku,2008,Science,Science,4,11,12/6/2024,4.63,8,0.99,en,354,5.07,1.42,7.99,A1,B1,10
A1-B1-0011,The Screwtape Letters,C.S. Lewis,1942,Satire,Fiction,5,118,8/9/2024,4.75,85,5.98,en,228,5.62,0.82,8.54,A1,B1,11
A1-B1-0012,Burning Daylight,Jack London,1910,Adventure,Fiction,7,10,4/24/2024,5,10,16.24,en,348,6.63,1.15,8.14,A1,B1,12
A1-B1-0013,Madame Bovary,Gustave Flaubert,1857,Drama,Fiction,8,3,1/29/2025,4.21,2,13.75,en,368,5.65,1.02,8.37,A1,B1,13
A1-B1-0014,"Laws, etc. (Session laws : 1754 May)",Massachusetts,1717,History,History,6,2,10/25/2024,5,1,29.95,en,488,5.45,1.71,9.65,A1,B1,14
A1-B1-0015,Le crime d'Orcival,Émile Gaboriau,1867,Crime/Thriller,Fiction,5,1,3/25/2024,,,13.1,fr,424,6.19,1.66,7.79,A1,B1,15
A1-B1-0016,Aaron's Rod,David Herbert Lawrence,1922,Drama,Fiction,5,6,1/2/2025,3.62,5,,en,232,6.69,1.08,9.9,A1,B1,16
